'first_name', 'last_name', 'phone_number', 'email', 'password'
'Pál','Monoczki','003630/327-2663','pal.monoczki@codecool.com',1234
'Sándor','Szodoray','003620/519-9152','sandor.szodoray@codecool.com',1234
'Dániel','Salamon','003620/508-0706','daniel.salamon@codecool.com',1234
'Miklós','Beöthy','003630/256-8118','miklos.beothy@codecool.com',1234
'Tamás','Tompa','003630/370-0748','tamas.tompa@codecool.com',1234
'Mateusz','Ostafil','003648/518-664-923','mateusz.ostafil@codecool.com',1234
'Anikó','Fenyvesi','003670/111-2222','aniko.fenyvesi@codecool.com',1234
'Immánuel','Fodor','003620/123-6234','immanuel.fodor@codecool.com',1234
'László','Molnár','003620/222-5566','laszlo.molnar@codecool.com',1234
'Mátyás','Forián Szabó','003630/111-5532','matyas.forian.szabo@codecool.com',1234
'Zoltán','Sallay','003670/898-3122','zoltan.sallay@codecool.com',1234
'Szilveszter','Erdős','003620/444-5555','szilveszter.erdos@codecool.com',1234
'László','Terray','003670/402-2435','laszlo.terray@codecool.com',1234
'Árpád','Törzsök','003630/222-1221','arpad.torzsok@codecool.com',1234
'Imre','Lindi','003670/222-1233','imre.lindi@codecool.com',1234
'Róbert','Kohányi','003630/123-5553','robert.kohanyi@codecool.com',1234
'Przemysław','Ciąćka','003670/222-4554','przemyslaw.ciacka@codecool.com',1234
'Marcin','Izworski','003670/999-2323','marcin.izworski@codecool.com',1234
'Rafał','Stępień','003630/323-5343','rafal.stepien@codecool.com',1234
'Agnieszka','Koszany','003630/111-5343','agnieszka.koszany@codecool.com',1234
'Mateusz','Steliga','003630/123-5343','mateusz.steliga@codecool.com',1234
'Attila','Molnár','003670/630-0539','attila.molnar@codecool.com',1234
